GroupBy(Function)              median(Latency(ms))  mean(Latency(ms))  q1(Latency(ms))  q3(Latency(ms))  count(Latency(ms))  min(Latency(ms))  max(Latency(ms))
CallFunction                   0.208942             9.2114812691343    0.106625         1.55327          1594                0.013215          9003.89
ExecuteScriptInIsolatedWorld   3.73308              18.798591          1.0243625        19.07215         28                  0.490199          135.999
ExecuteScriptInMainWorld       10.0852              42.218442829787    2.0750575        25.110425        94                  0.286938          553.072
PageLoadTime                   6230.75              5956.2621428571    936.8035         9809.84          7                   425.998           13543.8
ParseSheet                     0.9525915            62.874475578684    0.373826         35.564475        38                  0.00959799        654.234
PerformLayout                  2.859235             25.401455625       1.7600325        5.8701125        72                  0.322094          520.711
PumpPendingSpeculations        3.933965             47.392420384615    0.34775975       30.722625        26                  0.109445          654.765
ResumeParsingAfterYield        4.03329              48.7848872         0.375134         35.9276          25                  0.155592          654.804
UpdateLifeCyclePhasesInternal  74.2241              141.45107789474    24.109175        143.21           19                  1.42729           736.858
UpdateStyleAndLayoutTree       0.009953515          5.2232433764774    0.0079049875     0.01714525       1462                0.00559101        803.876
